026,009,1,W,26Fxm,19290,110,643.4,0.1,,2.2,ms,0.1,(4+),16,,2013,IT=82 11;B-=?;B-n=12 8
026,010,0,,26Ne,481,18,,,,197,ms,2,0+,16,,1970,B-=100;B-n=0.13 3
026,011,0,,26Na,-6861,4,,,,1071.28,ms,0.25,3+,16,,1958,B-=100
026,011,1,W,26Nam,-6779,4,82.5,0.6,,9,us,2,1+,16,,1987,IT=100
026,012,0,,26Mg,-16214.542,0.03,,,,stbl,,,0+,16,,1920,IS=11.01 3
026,013,0,,26Al,-12210.15,0.07,,,,717,ky,24,5+,16,,1934,B+=100
026,013,1,,26Alm,-11981.85,0.07,228.306,0.013,MD,6346,ms,0.8,0+      T=1,16,,1934,B+=100
026,014,0,,26Si,-7141.02,0.11,,,,2.245,3 s,0.0007,0+,16,,1960,B+=100
026,014,8,,26Sii,5926,11,13068,11,p,,,,(3+)    T=2,16,,,
026,015,0,,26P,10970#,200#,,,,43.7,ms,0.6,(3)+,16,,1983,B+=100;B+p=36.8 20;B+2p=2.16 24
026,015,1,W,26Pxm,11130#,200#,164.4,0.1,,120,ns,9,,16,,2014,IT=100
026,016,0,,26S,27080#,600#,,,,,,<79ns,0+,16,,,2p ?
027,008,0,,27O,44670#,500#,,,,,,<260ns,3/2+#,,99Sa06i,,n ?;2n ?
027,009,0,,27F,25450,390,,,,4.9,ms,0.2,5/2+#,11,98No.At,1981,B-=100;B-n=77 21;B-2n=5#
027,010,0,,27Ne,7050,90,,,,31.5,ms,1.3,(3/2+),11,,1977,B-=100;B-n=2.0 5;B-2n=0#
027,011,0,,27Na,-5518,4,,,,301,ms,6,5/2+,11,,1968,B-=100;B-n=0.13 4
027,012,0,,27Mg,-14586.61,0.05,,,,9.435,m,0.027,1/2+,11,15ZaZYt,1934,B-=100
027,013,0,,27Al,-17196.86,0.05,,,,stbl,,,5/2+,11,,1922,IS=100.
027,013,8,W,27Ali,-10383.1,0.7,6813.8,0.7,,,,,1/2+    T=3/2,11,,,IT=100
027,014,0,,27Si,-12384.5,0.11,,,,4.15,s,0.04,5/2+,11,,1939,B+=100
027,014,8,,27Sii,-5759.5,2.3,6625,2.3,RQ,,,,1/2+    T=3/2,11,,1977,IT ?
027,015,0,,27P,-722,26,,,,260,ms,80,1/2+,11,,1977,B+=100;B+p=0.07
027,015,8,,27Pxi,12010,30,12730,40,p,,,,5/2+    T=5/2,11,,1991,IT ?
027,016,0,,27S,17030#,400#,,,,15.5,ms,1.5,(5/2+),11,,1986,B+=100;B+p=2.3 9;B+2p=1.1 5
028,008,0,,28O,52080#,700#,,,,,,<100ns,0+,13,98Po.Ai,,n ?;2n ?;B-=0
028,009,0,,28F,33740,390,,,,46,zs,,,13,,,n ?
